id_ccbh,blast2go_go_id,blast2go_e_value,blast2go_hits
PA4851_00145,C:GO:0043231,0.0,20
PA4851_00145,F:GO:0050661,0.0,20
PA4851_00145,P:GO:0055114,0.0,20
PA4851_00150,F:GO:0004109,0.0,20
PA4851_00150,C:GO:0005829,0.0,20
PA4851_00150,P:GO:0019353,0.0,20
PA4851_00150,F:GO:0042803,0.0,20
PA4851_00150,F:GO:0046872,0.0,20
PA4851_00150,P:GO:0055114,0.0,20
PA4851_00155,F:GO:0004764,0.0,20
PA4851_00155,C:GO:0005829,0.0,20
PA4851_00155,P:GO:0009073,0.0,20
PA4851_00155,P:GO:0009423,0.0,20
PA4851_00155,P:GO:0019632,0.0,20
PA4851_00155,F:GO:0050661,0.0,20
PA4851_00155,P:GO:0055114,0.0,20
PA4851_00160,,,
PA4851_00165,P:GO:0000413,1.52827E-7,12
PA4851_00165,F:GO:0003755,1.52827E-7,12
PA4851_00165,C:GO:0005886,1.52827E-7,12
PA4851_00165,P:GO:0006457,1.52827E-7,12
PA4851_00165,C:GO:0009279,1.52827E-7,12
PA4851_00165,P:GO:0015031,1.52827E-7,12
PA4851_00165,C:GO:0016020,1.52827E-7,12
PA4851_00165,C:GO:0016021,1.52827E-7,12
PA4851_00165,F:GO:0016853,1.52827E-7,12
PA4851_00170,,,
PA4851_00175,F:GO:0005310,3.97692E-49,20
PA4851_00175,P:GO:0006821,3.97692E-49,20
PA4851_00175,P:GO:0006835,3.97692E-49,20
PA4851_00175,C:GO:0009536,3.97692E-49,20
PA4851_00175,F:GO:0015103,3.97692E-49,20
PA4851_00175,F:GO:0015238,3.97692E-49,20
PA4851_00175,F:GO:0015291,3.97692E-49,20
PA4851_00175,C:GO:0016021,3.97692E-49,20
PA4851_00175,C:GO:0031090,3.97692E-49,20
PA4851_00175,C:GO:0031982,3.97692E-49,20
PA4851_00175,C:GO:0044446,3.97692E-49,20
PA4851_00175,P:GO:0050789,3.97692E-49,20
PA4851_00175,P:GO:0065008,3.97692E-49,20
PA4851_00175,P:GO:0070633,3.97692E-49,20
PA4851_00175,P:GO:0071310,3.97692E-49,20
PA4851_00175,C:GO:0098590,3.97692E-49,20
PA4851_00175,P:GO:0098656,3.97692E-49,20
PA4851_00175,P:GO:1901701,3.97692E-49,20
PA4851_00180,P:GO:0006950,3.15882E-41,3
PA4851_00180,P:GO:0009628,3.15882E-41,3
PA4851_00180,P:GO:0015879,3.15882E-41,3
PA4851_00180,C:GO:0016020,3.15882E-41,3
PA4851_00180,F:GO:0022857,3.15882E-41,3
PA4851_00185,F:GO:0005488,1.05015E-151,20
PA4851_00185,F:GO:0008484,1.05015E-151,20
PA4851_00185,P:GO:0009966,1.05015E-151,20
PA4851_00185,C:GO:0012505,1.05015E-151,20
PA4851_00185,P:GO:0030203,1.05015E-151,20
PA4851_00185,C:GO:0043231,1.05015E-151,20
PA4851_00185,P:GO:0044237,1.05015E-151,20
PA4851_00185,C:GO:0044444,1.05015E-151,20
PA4851_00190,F:GO:0003700,1.21103E-43,20
PA4851_00190,F:GO:0005488,1.21103E-43,20
PA4851_00190,P:GO:0009893,1.21103E-43,20
PA4851_00190,P:GO:0018130,1.21103E-43,20
PA4851_00190,P:GO:0019438,1.21103E-43,20
PA4851_00190,P:GO:0031326,1.21103E-43,20
PA4851_00190,P:GO:0044271,1.21103E-43,20
PA4851_00190,P:GO:0048522,1.21103E-43,20
PA4851_00190,P:GO:0051171,1.21103E-43,20
PA4851_00190,P:GO:0060255,1.21103E-43,20
PA4851_00190,P:GO:0080090,1.21103E-43,20
PA4851_00190,P:GO:1901362,1.21103E-43,20
PA4851_00195,,,
PA4851_00200,P:GO:0000160,7.33283E-40,20
PA4851_00200,F:GO:0003677,7.33283E-40,20
PA4851_00200,F:GO:0003700,7.33283E-40,20
PA4851_00200,F:GO:0003824,7.33283E-40,20
PA4851_00200,F:GO:0005515,7.33283E-40,20
PA4851_00200,C:GO:0005737,7.33283E-40,20
PA4851_00200,P:GO:0006355,7.33283E-40,20
PA4851_00200,P:GO:0009405,7.33283E-40,20
PA4851_00200,P:GO:1900233,7.33283E-40,20
PA4851_00205,P:GO:0000162,0.0,20
PA4851_00205,F:GO:0004834,0.0,20
PA4851_00210,P:GO:0000162,0.0,20
PA4851_00210,F:GO:0004834,0.0,20
PA4851_00210,C:GO:0005737,0.0,20
PA4851_00215,P:GO:0000162,0.0,20
PA4851_00215,F:GO:0003700,0.0,20
PA4851_00215,P:GO:0006355,0.0,20
PA4851_00215,C:GO:0032993,0.0,20
PA4851_00215,F:GO:0043565,0.0,20
PA4851_00215,P:GO:2000284,0.0,20
PA4851_00220,F:GO:0000166,3.18632E-25,2
PA4851_00225,,1.1603E-5,1
PA4851_00230,P:GO:0006810,4.47007E-92,12
PA4851_00230,F:GO:0022857,4.47007E-92,12
PA4851_00235,F:GO:0004536,1.07922E-97,11
PA4851_00235,F:GO:0016740,1.07922E-97,11
PA4851_00235,P:GO:0019538,1.07922E-97,11
PA4851_00235,P:GO:0044260,1.07922E-97,11
PA4851_00235,C:GO:0097679,1.07922E-97,11
PA4851_00240,,,
PA4851_00245,C:GO:0005886,3.61466E-26,1
PA4851_00245,C:GO:0016020,3.61466E-26,1
PA4851_00245,C:GO:0016021,3.61466E-26,1
PA4851_00250,F:GO:0016740,1.30772E-180,6
PA4851_00255,C:GO:0005886,1.27657E-115,1
PA4851_00255,C:GO:0030288,1.27657E-115,1
PA4851_00260,,,
PA4851_00265,C:GO:0005886,1.52985E-48,1
PA4851_00265,C:GO:0016020,1.52985E-48,1
PA4851_00270,F:GO:0003677,7.08662E-6,2
PA4851_00270,F:GO:0003700,7.08662E-6,2
PA4851_00270,P:GO:0006355,7.08662E-6,2
PA4851_00270,F:GO:0043565,7.08662E-6,2
PA4851_00275,,0.0,1
PA4851_00280,,,
PA4851_00285,P:GO:0008652,"1,068E-139",20
PA4851_00285,P:GO:0009628,"1,068E-139",20
PA4851_00285,P:GO:0010033,"1,068E-139",20
PA4851_00285,F:GO:0016874,"1,068E-139",20
PA4851_00285,F:GO:0036094,"1,068E-139",20
PA4851_00285,C:GO:0044464,"1,068E-139",20
PA4851_00285,P:GO:1901605,"1,068E-139",20
PA4851_00290,,,
PA4851_00295,P:GO:0006388,4.61218E-129,20
PA4851_00295,F:GO:0016773,4.61218E-129,20
PA4851_00300,,,
PA4851_00305,F:GO:0003700,2.95311E-47,20
PA4851_00305,P:GO:0006355,2.95311E-47,20
PA4851_00305,P:GO:0009890,2.95311E-47,20
PA4851_00305,P:GO:0010604,2.95311E-47,20
PA4851_00305,P:GO:0031325,2.95311E-47,20
PA4851_00305,F:GO:0043565,2.95311E-47,20
PA4851_00305,F:GO:0044212,2.95311E-47,20
PA4851_00305,P:GO:0051173,2.95311E-47,20
PA4851_00310,F:GO:0008270,8.52236E-4,1
PA4851_00310,F:GO:0008800,8.52236E-4,1
PA4851_00310,F:GO:0016787,8.52236E-4,1
PA4851_00310,P:GO:0017001,8.52236E-4,1
PA4851_00310,C:GO:0042597,8.52236E-4,1
PA4851_00310,P:GO:0046677,8.52236E-4,1
PA4851_00310,F:GO:0046872,8.52236E-4,1
PA4851_00315,,,
PA4851_00320,F:GO:0004601,1.16375E-58,20
PA4851_00320,C:GO:0005829,1.16375E-58,20
PA4851_00320,P:GO:0006972,1.16375E-58,20
PA4851_00320,P:GO:0033194,1.16375E-58,20
PA4851_00320,F:GO:0051920,1.16375E-58,20
PA4851_00325,,3.94536E-8,1
PA4851_00330,,,
PA4851_00335,,,
PA4851_00340,,,
PA4851_00345,,,
PA4851_00350,F:GO:0000166,1.90478E-162,20
PA4851_00350,F:GO:0004713,1.90478E-162,20
PA4851_00350,C:GO:0005829,1.90478E-162,20
PA4851_00350,F:GO:0008253,1.90478E-162,20
PA4851_00350,P:GO:0016311,1.90478E-162,20
PA4851_00350,P:GO:0018108,1.90478E-162,20
PA4851_00350,F:GO:0046872,1.90478E-162,20
PA4851_00355,F:GO:0004089,5.36453E-77,20
PA4851_00355,C:GO:0005747,5.36453E-77,20
PA4851_00355,C:GO:0005829,5.36453E-77,20
PA4851_00355,F:GO:0008270,5.36453E-77,20
PA4851_00355,C:GO:0009507,5.36453E-77,20
PA4851_00355,P:GO:0009651,5.36453E-77,20
PA4851_00355,P:GO:0009735,5.36453E-77,20
PA4851_00355,P:GO:0009853,5.36453E-77,20
PA4851_00355,P:GO:0009901,5.36453E-77,20
PA4851_00355,F:GO:0016289,5.36453E-77,20
PA4851_00355,F:GO:0042802,5.36453E-77,20
PA4851_00355,P:GO:0070207,5.36453E-77,20
PA4851_00355,P:GO:2000377,5.36453E-77,20
PA4851_00360,F:GO:0004222,0.0,20
PA4851_00360,F:GO:0005488,0.0,20
PA4851_00360,C:GO:0005829,0.0,20
PA4851_00360,P:GO:0006260,0.0,20
PA4851_00360,P:GO:0006465,0.0,20
PA4851_00360,C:GO:0009570,0.0,20
PA4851_00360,C:GO:0031975,0.0,20
PA4851_00360,C:GO:0044429,0.0,20
PA4851_00360,P:GO:0046686,0.0,20
PA4851_00360,C:GO:0048046,0.0,20
PA4851_00360,P:GO:0050794,0.0,20
PA4851_00360,C:GO:0070013,0.0,20
PA4851_00365,,1.55447E-9,3
PA4851_00370,F:GO:0003824,3.70227E-47,5
PA4851_00370,C:GO:0005886,3.70227E-47,5
PA4851_00370,C:GO:0016020,3.70227E-47,5
PA4851_00370,C:GO:0016021,3.70227E-47,5
PA4851_00370,F:GO:0046872,3.70227E-47,5
PA4851_00370,F:GO:0051536,3.70227E-47,5
PA4851_00370,F:GO:0051539,3.70227E-47,5
PA4851_00375,,,
PA4851_00380,F:GO:0005509,1.00717E-4,4
PA4851_00380,F:GO:0005515,1.00717E-4,4
PA4851_00380,C:GO:0005783,1.00717E-4,4
PA4851_00380,C:GO:0005788,1.00717E-4,4
PA4851_00380,P:GO:0006687,1.00717E-4,4
PA4851_00380,F:GO:0016491,1.00717E-4,4
PA4851_00380,P:GO:0018158,1.00717E-4,4
PA4851_00380,F:GO:0042803,1.00717E-4,4
PA4851_00380,P:GO:0043687,1.00717E-4,4
PA4851_00380,F:GO:0046872,1.00717E-4,4
PA4851_00380,P:GO:0055114,1.00717E-4,4
PA4851_00380,F:GO:0120147,1.00717E-4,4
PA4851_00380,F:GO:1903135,1.00717E-4,4
PA4851_00385,,,
PA4851_00390,C:GO:0005887,1.07039E-35,20
PA4851_00390,F:GO:0008559,1.07039E-35,20
PA4851_00390,F:GO:0042802,1.07039E-35,20
PA4851_00390,P:GO:0042891,1.07039E-35,20
PA4851_00390,F:GO:0042895,1.07039E-35,20
PA4851_00390,P:GO:0046618,1.07039E-35,20
PA4851_00390,P:GO:0046677,1.07039E-35,20
PA4851_00390,C:GO:1990196,1.07039E-35,20
PA4851_00395,F:GO:0004674,1.94249E-52,20
PA4851_00395,C:GO:0005618,1.94249E-52,20
PA4851_00395,P:GO:0007165,1.94249E-52,20
PA4851_00395,P:GO:0008360,1.94249E-52,20
PA4851_00395,P:GO:0009252,1.94249E-52,20
PA4851_00395,P:GO:0009847,1.94249E-52,20
PA4851_00395,F:GO:0010698,1.94249E-52,20
PA4851_00395,C:GO:0016020,1.94249E-52,20
PA4851_00395,F:GO:0030145,1.94249E-52,20
PA4851_00395,P:GO:0032091,1.94249E-52,20
PA4851_00395,F:GO:0042802,1.94249E-52,20
PA4851_00395,P:GO:0043085,1.94249E-52,20
PA4851_00395,P:GO:0043086,1.94249E-52,20
PA4851_00395,P:GO:0043388,1.94249E-52,20
PA4851_00395,P:GO:0045717,1.94249E-52,20
PA4851_00395,P:GO:0045967,1.94249E-52,20
PA4851_00395,P:GO:0046777,1.94249E-52,20
PA4851_00395,P:GO:0051302,1.94249E-52,20
PA4851_00395,P:GO:0052572,1.94249E-52,20
PA4851_00395,P:GO:0071224,1.94249E-52,20
PA4851_00395,F:GO:0097367,1.94249E-52,20
PA4851_00400,F:GO:0004721,3.05632E-35,18
PA4851_00400,C:GO:0005886,3.05632E-35,18
PA4851_00400,P:GO:0009987,3.05632E-35,18
PA4851_00400,C:GO:0016021,3.05632E-35,18
PA4851_00400,P:GO:0043086,3.05632E-35,18
PA4851_00400,F:GO:0046872,3.05632E-35,18
PA4851_00405,,,
PA4851_00410,,,
PA4851_00415,F:GO:0005488,1.03772E-17,20
PA4851_00415,C:GO:0005886,1.03772E-17,20
PA4851_00415,P:GO:0006811,1.03772E-17,20
PA4851_00415,C:GO:0016021,1.03772E-17,20
PA4851_00415,C:GO:0019867,1.03772E-17,20
PA4851_00415,C:GO:0030312,1.03772E-17,20
PA4851_00415,P:GO:0044403,1.03772E-17,20
PA4851_00415,P:GO:0050896,1.03772E-17,20
PA4851_00415,P:GO:0055085,1.03772E-17,20
PA4851_00420,,,
PA4851_00425,,,
PA4851_00430,,,
PA4851_00435,,,
PA4851_00440,,,
PA4851_00445,,,
PA4851_00450,C:GO:0005576,2.29117E-118,1
PA4851_00450,F:GO:0042802,2.29117E-118,1
PA4851_00455,,,
PA4851_00460,,,
PA4851_00465,,,
PA4851_00470,,,
PA4851_00475,F:GO:0005524,0.0,20
PA4851_00475,C:GO:0005829,0.0,20
PA4851_00475,P:GO:0009408,0.0,20
PA4851_00475,P:GO:0019538,0.0,20
PA4851_00475,F:GO:0042623,0.0,20
PA4851_00475,F:GO:0042802,0.0,20
PA4851_00480,F:GO:0000166,2.54054E-104,4
PA4851_00480,P:GO:0007015,2.54054E-104,4
PA4851_00480,F:GO:0016874,2.54054E-104,4
PA4851_00480,P:GO:0018262,2.54054E-104,4
PA4851_00480,C:GO:0030430,2.54054E-104,4
PA4851_00480,F:GO:0046872,2.54054E-104,4
PA4851_00485,,,
PA4851_00490,F:GO:0004518,3.07069E-7,2
PA4851_00490,P:GO:0009405,3.07069E-7,2
PA4851_00490,C:GO:0016020,3.07069E-7,2
PA4851_00490,C:GO:0016021,3.07069E-7,2
PA4851_00490,F:GO:0016787,3.07069E-7,2
PA4851_00490,P:GO:0090305,3.07069E-7,2
PA4851_00490,F:GO:0090729,3.07069E-7,2
PA4851_00490,P:GO:0097264,3.07069E-7,2
PA4851_00495,,,
PA4851_00500,F:GO:0000166,1.86997E-107,18
PA4851_00500,F:GO:0005515,1.86997E-107,18
PA4851_00500,C:GO:0005886,1.86997E-107,18
PA4851_00500,P:GO:0007015,1.86997E-107,18
PA4851_00500,F:GO:0016874,1.86997E-107,18
PA4851_00500,P:GO:0018262,1.86997E-107,18
PA4851_00500,C:GO:0030425,1.86997E-107,18
PA4851_00500,C:GO:0030430,1.86997E-107,18
PA4851_00500,P:GO:0043624,1.86997E-107,18
PA4851_00500,C:GO:0045202,1.86997E-107,18
PA4851_00500,F:GO:0046872,1.86997E-107,18
PA4851_00500,P:GO:0048518,1.86997E-107,18
PA4851_00500,P:GO:0050794,1.86997E-107,18
PA4851_00500,P:GO:0051049,1.86997E-107,18
PA4851_00500,P:GO:0051704,1.86997E-107,18
PA4851_00505,,,
PA4851_00510,,,
PA4851_00515,,,
PA4851_00520,,,
PA4851_00525,,,
PA4851_00530,,,
PA4851_00535,F:GO:0004089,4.84533E-74,20
PA4851_00535,F:GO:0008270,4.84533E-74,20
PA4851_00535,P:GO:0009440,4.84533E-74,20
PA4851_00535,C:GO:0009526,4.84533E-74,20
PA4851_00535,C:GO:0009579,4.84533E-74,20
PA4851_00535,C:GO:0016020,4.84533E-74,20
PA4851_00535,F:GO:0042802,4.84533E-74,20
PA4851_00535,C:GO:0044434,4.84533E-74,20
PA4851_00535,P:GO:0050789,4.84533E-74,20
PA4851_00535,P:GO:0098542,4.84533E-74,20
PA4851_00540,C:GO:0000323,8.91242E-36,20
PA4851_00540,C:GO:0012505,8.91242E-36,20
PA4851_00540,F:GO:0015556,8.91242E-36,20
PA4851_00540,P:GO:0015740,8.91242E-36,20
PA4851_00540,C:GO:0031090,8.91242E-36,20
PA4851_00540,C:GO:0044425,8.91242E-36,20
PA4851_00540,C:GO:0044446,8.91242E-36,20
PA4851_00540,P:GO:1905039,8.91242E-36,20
PA4851_00545,,,
PA4851_00550,C:GO:0044424,2.34207E-46,20
PA4851_00550,C:GO:0070469,2.34207E-46,20
PA4851_00555,F:GO:0004129,0.0,20
PA4851_00555,F:GO:0005515,0.0,20
PA4851_00555,C:GO:0005751,0.0,20
PA4851_00555,P:GO:0006123,0.0,20
PA4851_00555,P:GO:0015990,0.0,20
PA4851_00560,F:GO:0003674,2.12795E-34,20
PA4851_00560,F:GO:0005507,2.12795E-34,20
PA4851_00560,C:GO:0005886,2.12795E-34,20
PA4851_00560,P:GO:0008535,2.12795E-34,20
PA4851_00560,C:GO:0016020,2.12795E-34,20
PA4851_00560,C:GO:0016021,2.12795E-34,20
PA4851_00565,F:GO:0016491,2.23666E-53,20
PA4851_00565,C:GO:0045277,2.23666E-53,20
PA4851_00565,P:GO:0045333,2.23666E-53,20
PA4851_00570,,,
PA4851_00575,F:GO:0005515,1.46121E-8,11
PA4851_00575,C:GO:0005739,1.46121E-8,11
PA4851_00575,P:GO:0006091,1.46121E-8,11
PA4851_00575,P:GO:0008535,1.46121E-8,11
PA4851_00575,C:GO:0016020,1.46121E-8,11
PA4851_00575,P:GO:0046034,1.46121E-8,11
PA4851_00575,P:GO:0055114,1.46121E-8,11
PA4851_00580,,,
PA4851_00585,F:GO:0003674,1.73334E-11,20
PA4851_00585,F:GO:0004129,1.73334E-11,20
PA4851_00585,C:GO:0005739,1.73334E-11,20
PA4851_00585,C:GO:0005743,1.73334E-11,20
PA4851_00585,C:GO:0005886,1.73334E-11,20
PA4851_00585,P:GO:0006783,1.73334E-11,20
PA4851_00585,P:GO:0006784,1.73334E-11,20
PA4851_00585,P:GO:0008535,1.73334E-11,20
PA4851_00585,C:GO:0016020,1.73334E-11,20
PA4851_00585,C:GO:0016021,1.73334E-11,20
PA4851_00585,F:GO:0016491,1.73334E-11,20
PA4851_00585,F:GO:0016627,1.73334E-11,20
PA4851_00585,F:GO:0016653,1.73334E-11,20
PA4851_00585,P:GO:0022900,1.73334E-11,20
PA4851_00585,P:GO:0055114,1.73334E-11,20
PA4851_00585,P:GO:1902600,1.73334E-11,20
PA4851_00590,C:GO:0005886,0.0,20
PA4851_00590,F:GO:0008495,0.0,20
PA4851_00590,C:GO:0016021,0.0,20
PA4851_00590,P:GO:0045333,0.0,20
PA4851_00590,P:GO:0048034,0.0,20
PA4851_00595,P:GO:0001654,2.95149E-66,20
PA4851_00595,F:GO:0005507,2.95149E-66,20
PA4851_00595,F:GO:0005515,2.95149E-66,20
PA4851_00595,P:GO:0006091,2.95149E-66,20
PA4851_00595,P:GO:0009793,2.95149E-66,20
PA4851_00595,F:GO:0015035,2.95149E-66,20
PA4851_00595,C:GO:0030016,2.95149E-66,20
PA4851_00595,C:GO:0031305,2.95149E-66,20
PA4851_00595,P:GO:0033617,2.95149E-66,20
PA4851_00595,P:GO:0050896,2.95149E-66,20
PA4851_00595,P:GO:0055070,2.95149E-66,20
PA4851_00595,P:GO:0055114,2.95149E-66,20
PA4851_00600,F:GO:0016747,1.92316E-54,15
PA4851_00605,F:GO:0003677,1.42136E-42,17
PA4851_00610,P:GO:0006631,2.21056E-19,20
PA4851_00610,P:GO:0006725,2.21056E-19,20
PA4851_00610,P:GO:0006807,2.21056E-19,20
PA4851_00610,C:GO:0009536,2.21056E-19,20
PA4851_00610,F:GO:0016616,2.21056E-19,20
PA4851_00610,P:GO:0042180,2.21056E-19,20
PA4851_00610,P:GO:0044248,2.21056E-19,20
PA4851_00610,F:GO:0048037,2.21056E-19,20
PA4851_00610,P:GO:0051186,2.21056E-19,20
PA4851_00610,P:GO:1901360,2.21056E-19,20
PA4851_00610,P:GO:1901575,2.21056E-19,20
PA4851_00615,F:GO:0003824,1.56797E-26,9
PA4851_00615,C:GO:0043231,1.56797E-26,9
PA4851_00615,P:GO:0044237,1.56797E-26,9
PA4851_00615,C:GO:0044444,1.56797E-26,9
PA4851_00615,P:GO:0071704,1.56797E-26,9
PA4851_00620,F:GO:0005515,0.0,20
PA4851_00620,C:GO:0005886,0.0,20
PA4851_00620,F:GO:0015138,0.0,20
PA4851_00620,F:GO:0015141,0.0,20
PA4851_00620,F:GO:0015366,0.0,20
PA4851_00620,P:GO:0015741,0.0,20
PA4851_00620,C:GO:0016021,0.0,20
PA4851_00620,P:GO:0070778,0.0,20
PA4851_00620,P:GO:0071422,0.0,20
PA4851_00620,P:GO:0071423,0.0,20
PA4851_00625,F:GO:0003677,1.74118E-14,20
PA4851_00625,F:GO:0003700,1.74118E-14,20
PA4851_00625,P:GO:0006355,1.74118E-14,20
PA4851_00625,P:GO:0006974,1.74118E-14,20
PA4851_00625,F:GO:0043565,1.74118E-14,20
PA4851_00625,P:GO:0045892,1.74118E-14,20
PA4851_00630,F:GO:0003677,6.63974E-8,1
