enzyme_code,enzyme_name
EC:3.1.1.1,Carboxylesterase
EC:2.1.1.80,Protein-glutamate O-methyltransferase
EC:2.7.13.3,Histidine kinase
EC:3.1.6.1,Arylsulfatase
EC:1.6.1.2,NAD(P)(+) transhydrogenase (Re/Si-specific)
EC:1.6.1.1,NAD(P)(+) transhydrogenase (Si-specific)
EC:2.7.8.25,Transferring phosphorus-containing groups
EC:2.3.1.39,[Acyl-carrier-protein] S-malonyltransferase
EC:1.2.1.36,Retinal dehydrogenase
EC:1.2.1.68,Coniferyl-aldehyde dehydrogenase
EC:1.1.1.105,All-trans-retinol dehydrogenase (NAD(+))
EC:1.2.1.5,Aldehyde dehydrogenase (NAD(P)(+))
EC:1.2.1.3,Aldehyde dehydrogenase (NAD(+))
EC:2.6.1.76,Diaminobutyrate--2-oxoglutarate transaminase
EC:2.8.3.6,3-oxoadipate CoA-transferase
EC:2.3.1.174,3-oxoadipyl-CoA thiolase
EC:2.3.1.16,Acetyl-CoA C-acyltransferase
EC:5.5.1.2,"3-carboxy-cis,cis-muconate cycloisomerase"
EC:4.1.1.44,4-carboxymuconolactone decarboxylase
EC:1.1.1.24,Quinate dehydrogenase
EC:4.2.1.10,3-dehydroquinate dehydratase
EC:1.14.13.2,4-hydroxybenzoate 3-monooxygenase
EC:1.14.13,"Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)"
EC:1.14.13.33,4-hydroxybenzoate 3-monooxygenase (NAD(P)H)
EC:1.2.1.16,Succinate-semialdehyde dehydrogenase (NAD(P)(+))
EC:1.2.1.24,Succinate-semialdehyde dehydrogenase (NAD(+))
EC:1.2.1.20,Glutarate-semialdehyde dehydrogenase
EC:2.6.1.22,(S)-3-amino-2-methylpropionate transaminase
EC:2.6.1.11,Acetylornithine transaminase
EC:2.6.1.19,4-aminobutyrate--2-oxoglutarate transaminase
EC:2.6.1.48,5-aminovalerate transaminase
EC:3.6.3.25,Sulfate-transporting ATPase
EC:3.1.4.52,Cyclic-guanylate-specific phosphodiesterase
EC:3.5.3.11,Agmatinase
EC:3.5.3.17,Guanidinopropionase
EC:3.5.3.7,Guanidinobutyrase
EC:3.5.3.12,Agmatine deiminase
EC:3.5.3.15,Protein-arginine deiminase
EC:3.5.1.53,N-carbamoylputrescine amidase
EC:6.3.1.11,Glutamate--putrescine ligase
EC:3.5.1.94,Gamma-glutamyl-gamma-aminobutyrate hydrolase
EC:3.6.3.31,Polyamine-transporting ATPase
EC:1.1.99.2,L-2-hydroxyglutarate dehydrogenase
EC:1.1.1.95,Phosphoglycerate dehydrogenase
EC:1.1.2.4,D-lactate dehydrogenase (cytochrome)
EC:1.1.99.39,D-2-hydroxyglutarate dehydrogenase
EC:4.1.1.3,Oxaloacetate decarboxylase
EC:3.7.1.6,Acetylpyruvate hydrolase
EC:1.1.1.38,Malate dehydrogenase (oxaloacetate-decarboxylating)
EC:3.7.1.20,3-fumarylpyruvate hydrolase
EC:1.1.1.40,Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))
EC:3.5.1.62,Acetylputrescine deacetylase
EC:3.5.1.98,Histone deacetylase
EC:5.3.1.6,Ribose-5-phosphate isomerase
EC:4.3.1.17,L-serine ammonia-lyase
EC:4.3.1.19,Threonine ammonia-lyase
EC:2.7.3.9,Phosphoenolpyruvate--protein phosphotransferase
EC:2.1.1.45,Thymidylate synthase
EC:1.5.1.3,Dihydrofolate reductase
EC:4.2.1.9,Dihydroxy-acid dehydratase
EC:4.2.99.18,DNA-(apurinic or apyrimidinic site) lyase
EC:3.2.2.23,DNA-formamidopyrimidine glycosylase
EC:3.4.19,Acting on peptide bonds (peptidases)
EC:6.2.1.22,[Citrate (pro-3S)-lyase] ligase
EC:2.7.7.3,Pantetheine-phosphate adenylyltransferase
EC:1.2.1.48,Long-chain-aldehyde dehydrogenase
EC:1.1.3.20,Long-chain-alcohol oxidase
EC:1.1.1.2,Alcohol dehydrogenase (NADP(+))
EC:1.2.1.28,Benzaldehyde dehydrogenase (NAD(+))
EC:2.1.1.171,16S rRNA (guanine(966)-N(2))-methyltransferase
EC:2.1.1.52,Transferring one-carbon groups
EC:2.4.1.129,Peptidoglycan glycosyltransferase
EC:2.1.1.33,tRNA (guanine(46)-N(7))-methyltransferase
EC:3.6.1.19,Acting on acid anhydrides
EC:2.3.1.31,Homoserine O-acetyltransferase
EC:2.3.1.46,Homoserine O-succinyltransferase
EC:1.5.1.2,Pyrroline-5-carboxylate reductase
EC:4.2.1.22,Cystathionine beta-synthase
EC:2.5.1.47,Cysteine synthase
EC:2.5.1.48,Cystathionine gamma-synthase
EC:4.4.1.8,Cystathionine beta-lyase
EC:4.4.1.1,Cystathionine gamma-lyase
EC:4.4.1.2,Homocysteine desulfhydrase
EC:3.5.2.3,Dihydroorotase
EC:2.1.3.2,Aspartate carbamoyltransferase
EC:2.4.2.9,Uracil phosphoribosyltransferase
EC:6.3.2.3,Glutathione synthase
EC:1.5.1.20,Methylenetetrahydrofolate reductase (NAD(P)H)
EC:3.3.1.1,Adenosylhomocysteinase
EC:3.5.4.1,Cytosine deaminase
EC:1.6.99.3,NADH dehydrogenase
EC:1.3.1.2,Dihydropyrimidine dehydrogenase (NADP(+))
EC:3.5.2.2,Dihydropyrimidinase
EC:3.5.1.87,N-carbamoyl-L-amino-acid hydrolase
EC:2.8.3.13,Succinate--hydroxymethylglutarate CoA-transferase
EC:1.3.99.3,Acting on the CH-CH group of donors
EC:1.3.3.6,Acyl-CoA oxidase
EC:1.3.99.7,Acting on the CH-CH group of donors
EC:2.5.1.18,Glutathione transferase
EC:3.1.2.20,Acyl-CoA hydrolase
EC:2.3.1.5,Arylamine N-acetyltransferase
EC:2.3.3.9,Malate synthase
EC:3.5.2.9,5-oxoprolinase (ATP-hydrolyzing)
EC:6.4.1.2,Acetyl-CoA carboxylase
EC:6.4.1.3,Propionyl-CoA carboxylase
EC:6.3.4.14,Biotin carboxylase
EC:2.8.1.6,Biotin synthase
EC:2.3.1.47,8-amino-7-oxononanoate synthase
EC:2.1.1.197,Malonyl-[acyl-carrier protein] O-methyltransferase
EC:6.3.3.3,Dethiobiotin synthase
EC:4.99.1.1,Protoporphyrin ferrochelatase
EC:1.7.99.1,Hydroxylamine reductase
EC:1.7.2.1,Nitrite reductase (NO-forming)
EC:1.7.2.5,Nitric-oxide reductase (cytochrome c)
EC:2.5.1.6,Methionine adenosyltransferase
EC:2.2.1.1,Transketolase
EC:5.3.1.22,Hydroxypyruvate isomerase
EC:1.2.1.59,Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating)
EC:1.2.1.12,Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
EC:1.2.1.72,Erythrose-4-phosphate dehydrogenase
EC:2.7.2.3,Phosphoglycerate kinase
EC:4.1.2.13,Fructose-bisphosphate aldolase
EC:3.1.3.23,Sugar-phosphatase
EC:2.7.7.6,DNA-directed RNA polymerase
EC:2.3.1.234,N(6)-L-threonylcarbamoyladenine synthase
EC:4.1.2.25,Dihydroneopterin aldolase
EC:2.7.7.72,CCA tRNA nucleotidyltransferase
EC:2.7.7.21,Transferring phosphorus-containing groups
EC:2.7.7.25,Transferring phosphorus-containing groups
EC:2.7.7.19,Polynucleotide adenylyltransferase
EC:2.8.1.1,Thiosulfate sulfurtransferase
EC:3.6.1.41,Bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
EC:3.6.1.9,Nucleotide diphosphatase
EC:2.1.1.182,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase
EC:1.1.1.262,4-hydroxythreonine-4-phosphate dehydrogenase
EC:5.2.1.8,Peptidylprolyl isomerase
EC:5.1.3.1,Ribulose-phosphate 3-epimerase
EC:3.1.3.18,Phosphoglycolate phosphatase
EC:4.1.3.27,Anthranilate synthase
EC:4.1.1.48,Indole-3-glycerol-phosphate synthase
EC:2.6.1.85,Aminodeoxychorismate synthase
EC:2.4.2.18,Anthranilate phosphoribosyltransferase
EC:5.3.1.24,Phosphoribosylanthranilate isomerase
EC:4.1.1.50,Adenosylmethionine decarboxylase
EC:3.6.2.1,Adenylylsulfatase
EC:1.2.1.38,N-acetyl-gamma-glutamyl-phosphate reductase
EC:6.1.1.1,Tyrosine--tRNA ligase
EC:6.3.4.15,Biotin--[biotin carboxyl-carrier protein] ligase
EC:2.7.1.33,Pantothenate kinase
EC:1.11.1.6,Catalase
EC:1.16.3.1,Ferroxidase
EC:1.16.3,Oxidizing metal ions
EC:5.4.4.2,Isochorismate synthase
EC:4.2.99.21,Isochorismate lyase
EC:5.4.99.5,Chorismate mutase
EC:2.3.1.85,Fatty-acid synthase
EC:3.1.2.14,Oleoyl-[acyl-carrier-protein] hydrolase
EC:2.7.7.58,"(2,3-dihydroxybenzoyl)adenylate synthase"
EC:6.3.2.14,Enterobactin synthase
EC:1.4.3.5,Pyridoxal 5'-phosphate synthase
EC:5.3.3.17,"Trans-2,3-dihydro-3-hydroxyanthranilate isomerase"
EC:3.3.2.6,Leukotriene-A(4) hydrolase
EC:3.3.2.1,Isochorismatase
EC:2.5.1.54,3-deoxy-7-phosphoheptulonate synthase
EC:6.3.2.4,D-alanine--D-alanine ligase
EC:6.2.1.1,Acetate--CoA ligase
EC:6.2.1.2,Butyrate--CoA ligase
EC:6.2.1.25,Benzoate--CoA ligase
EC:6.2.1.17,Propionate--CoA ligase
EC:3.1.11,Acting on ester bonds
EC:3.1.15,Acting on ester bonds
EC:1.1.1.91,Aryl-alcohol dehydrogenase (NADP(+))
EC:1.1.1.100,3-oxoacyl-[acyl-carrier-protein] reductase
EC:1.1.1.4,"(R,R)-butanediol dehydrogenase"
EC:2.3.1.38,[Acyl-carrier-protein] S-acetyltransferase
EC:2.3.1.12,Dihydrolipoyllysine-residue acetyltransferase
EC:1.2.1.51,Pyruvate dehydrogenase (NADP(+))
EC:1.2.4.1,Pyruvate dehydrogenase (acetyl-transferring)
EC:1.2.1.60,5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase
EC:4.1.1.68,"5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase"
EC:5.3.3.10,5-carboxymethyl-2-hydroxymuconate Delta-isomerase
EC:3.2.2.10,Pyrimidine-5'-nucleotide nucleosidase
EC:3.5.2.6,Beta-lactamase
EC:1.1.99.1,Choline dehydrogenase
EC:1.5.1.36,Flavin reductase (NADH)
EC:1.5.1.30,Flavin reductase (NADPH)
EC:1.5.1.41,Riboflavin reductase (NAD(P)H)
EC:1.14.13.29,4-nitrophenol 2-monooxygenase
EC:1.14.14,"Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)"
EC:1.14.14.9,4-hydroxyphenylacetate 3-monooxygenase
EC:1.2.1.53,4-hydroxyphenylacetaldehyde dehydrogenase
EC:1.2.1.39,Phenylacetaldehyde dehydrogenase
EC:1.8.1.8,Protein-disulfide reductase
EC:3.5.4.26,Diaminohydroxyphosphoribosylaminopyrimidine deaminase
EC:1.1.1.193,5-amino-6-(5-phosphoribosylamino)uracil reductase
EC:2.5.1.9,Riboflavin synthase
EC:4.1.99.12,"3,4-dihydroxy-2-butanone-4-phosphate synthase"
EC:2.5.1.78,"6,7-dimethyl-8-ribityllumazine synthase"
EC:2.7.4.16,Thiamine-phosphate kinase
EC:3.1.3.27,Phosphatidylglycerophosphatase
EC:3.5.4.25,GTP cyclohydrolase II
EC:2.2.1.7,1-deoxy-D-xylulose-5-phosphate synthase
EC:2.5.1.10,"(2E,6E)-farnesyl diphosphate synthase"
EC:2.5.1.1,Dimethylallyltranstransferase
EC:3.1.11.6,Exodeoxyribonuclease VII
EC:4.2.1.81,D(-)-tartrate dehydratase
EC:3.6.1.1,Inorganic diphosphatase
EC:3.6.1.25,Triphosphatase
EC:4.3.1.7,Ethanolamine ammonia-lyase
EC:1.2.1.69,Fluoroacetaldehyde dehydrogenase
EC:2.5.1.129,Flavin prenyltransferase
EC:2.7.1.68,1-phosphatidylinositol-4-phosphate 5-kinase
EC:1.17.1,Acting on CH or CH(2) groups
EC:4.2.1.17,Enoyl-CoA hydratase
EC:3.2.2.21,DNA-3-methyladenine glycosylase II
EC:1.2.1.41,Glutamate-5-semialdehyde dehydrogenase
EC:2.7.7.1,Nicotinamide-nucleotide adenylyltransferase
EC:2.7.7.18,Nicotinate-nucleotide adenylyltransferase
EC:3.4.21,Acting on peptide bonds (peptidases)
EC:3.4.16,Acting on peptide bonds (peptidases)
EC:3.4.16.4,Serine-type D-Ala-D-Ala carboxypeptidase
EC:2.4.99,Glycosyltransferases
EC:2.3.1.181,Lipoyl(octanoyl) transferase
EC:2.8.1.8,Lipoyl synthase
EC:3.3.2.10,Soluble epoxide hydrolase
EC:6.1.1.4,Leucine--tRNA ligase
EC:5.4.3.8,"Glutamate-1-semialdehyde 2,1-aminomutase"
EC:2.5.1.3,Thiamine phosphate synthase
EC:1.3.99.10,Acting on the CH-CH group of donors
EC:3.2.2.4,AMP nucleosidase
EC:3.1.4.4,Phospholipase D
EC:5.4.99.24,23S rRNA pseudouridine(955/2504/2580) synthase
EC:5.4.99.23,23S rRNA pseudouridine(1911/1915/1917) synthase
EC:5.4.99.19,16S rRNA pseudouridine(516) synthase
EC:5.4.99.29,23S rRNA pseudouridine(746) synthase
EC:5.4.99.20,23S rRNA pseudouridine(2457) synthase
EC:5.4.99.22,23S rRNA pseudouridine(2605) synthase
EC:5.4.99.21,23S rRNA pseudouridine(2604) synthase
EC:5.4.99.43,21S rRNA pseudouridine(2819) synthase
EC:3.1.2.2,Palmitoyl-CoA hydrolase
EC:3.6.3.36,Taurine-transporting ATPase
EC:1.14.11.17,Taurine dioxygenase
EC:2.3.1.9,Acetyl-CoA C-acetyltransferase
EC:4.6.1.17,Cyclic pyranopterin monophosphate synthase
EC:2.8.1.12,Molybdopterin synthase
EC:2.10.1.1,Molybdopterin molybdotransferase
EC:1.7.99.4,Nitrate reductase
EC:1.8.99,Acting on a sulfur group of donors
EC:4.1.99.22,"GTP 3',8-cyclase"
EC:1.4.99.1,Acting on the CH-NH(2) group of donors
EC:2.7.8.24,Phosphatidylcholine synthase
EC:2.1.1.181,23S rRNA (adenine(1618)-N(6))-methyltransferase
EC:6.1.1.9,Valine--tRNA ligase
EC:3.4.11,Acting on peptide bonds (peptidases)
EC:2.4.2.29,tRNA-guanine(34) transglycosylase
EC:3.1.3.19,Glycerol-2-phosphatase
EC:3.1.3.25,Inositol-phosphate phosphatase
EC:2.3.1.30,Serine O-acetyltransferase
EC:2.8.1.7,Cysteine desulfurase
EC:2.7.4.6,Nucleoside-diphosphate kinase
EC:2.1.1.192,23S rRNA (adenine(2503)-C(2))-methyltransferase
EC:1.17.7.1,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin)
EC:1.17.7,Acting on CH or CH(2) groups
EC:6.1.1.21,Histidine--tRNA ligase
EC:3.5.1.3,Omega-amidase
EC:3.5.1.111,2-oxoglutaramate amidase
EC:2.3.3.13,2-isopropylmalate synthase
EC:1.1.1.205,IMP dehydrogenase
EC:6.3.4.1,Forming carbon-nitrogen bonds
EC:6.3.5.2,GMP synthase (glutamine-hydrolyzing)
EC:3.5.4.4,Adenosine deaminase
EC:6.3.5.3,Phosphoribosylformylglycinamidine synthase
EC:3.6.1.18,FAD diphosphatase
EC:2.1.2.2,Phosphoribosylglycinamide formyltransferase
EC:2.1.1.228,tRNA (guanine(37)-N(1))-methyltransferase
EC:5.3.4.1,Protein disulfide-isomerase
EC:1.1.1.3,Homoserine dehydrogenase
EC:4.2.3.1,Threonine synthase
EC:6.1.1.6,Lysine--tRNA ligase
EC:4.1.1.31,Phosphoenolpyruvate carboxylase
EC:4.1.1.32,Phosphoenolpyruvate carboxykinase (GTP)
EC:2.7.4.4,Nucleoside-phosphate kinase
EC:2.7.4.3,Adenylate kinase
EC:2.3.1.15,Glycerol-3-phosphate 1-O-acyltransferase
EC:2.3.1.117,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
EC:2.7.7.59,[Protein-PII] uridylyltransferase
EC:2.7.4.22,UMP kinase
EC:2.5.1.31,"Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-"
EC:2.7.7.41,Phosphatidate cytidylyltransferase
EC:1.1.1.267,1-deoxy-D-xylulose-5-phosphate reductoisomerase
EC:4.2.1.59,3-hydroxyacyl-[acyl-carrier-protein] dehydratase
EC:2.3.1.129,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
EC:2.4.1.182,Lipid-A-disaccharide synthase
EC:3.1.30,Acting on ester bonds
EC:3.1.26,Acting on ester bonds
EC:3.1.26.4,Ribonuclease H
EC:6.3.4.2,CTP synthase (glutamine hydrolyzing)
EC:2.5.1.55,3-deoxy-8-phosphooctulonate synthase
EC:4.2.1.11,Phosphopyruvate hydratase
EC:2.7.7.60,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
EC:1.2.1.46,Formaldehyde dehydrogenase
EC:1.1.1.284,S-(hydroxymethyl)glutathione dehydrogenase
EC:1.1.1.1,Alcohol dehydrogenase
EC:3.1.2.12,S-formylglutathione hydrolase
EC:3.1.2.6,Hydroxyacylglutathione hydrolase
EC:4.6.1.12,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
EC:5.4.99.12,tRNA pseudouridine(38-40) synthase
EC:5.4.99.45,tRNA pseudouridine(38/39) synthase
EC:5.4.99.26,tRNA pseudouridine(65) synthase
EC:5.4.99.25,tRNA pseudouridine(55) synthase
EC:5.4.99.28,tRNA pseudouridine(32) synthase
EC:5.4.99.27,tRNA pseudouridine(13) synthase
EC:5.4.99.42,tRNA pseudouridine(31) synthase
EC:5.4.99.44,Mitochondrial tRNA pseudouridine(27/28) synthase
EC:3.6.1.11,Exopolyphosphatase
EC:3.1.3.6,3'-nucleotidase
EC:2.1.1.77,Protein-L-isoaspartate(D-aspartate) O-methyltransferase
EC:3.5.1.42,Nicotinamide-nucleotide amidase
EC:2.7.1.107,Diacylglycerol kinase (ATP)
EC:1.1.1.35,3-hydroxyacyl-CoA dehydrogenase
EC:1.1.1.157,3-hydroxybutyryl-CoA dehydrogenase
EC:1.1.1.8,Glycerol-3-phosphate dehydrogenase (NAD(+))
EC:1.1.5.3,Glycerol-3-phosphate dehydrogenase
EC:1.1.1.94,Glycerol-3-phosphate dehydrogenase (NAD(P)(+))
EC:2.7.1.30,Glycerol kinase
EC:1.1.1.291,2-hydroxymethylglutarate dehydrogenase
EC:1.1.1.31,3-hydroxyisobutyrate dehydrogenase
EC:1.1.1.60,2-hydroxy-3-oxopropionate reductase
EC:2.7.1.56,1-phosphofructokinase
EC:2.7.1.69,Transferring phosphorus-containing groups
EC:2.4.2.43,Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase
EC:1.1.1.305,UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating)
EC:2.1.2.13,UDP-4-amino-4-deoxy-L-arabinose formyltransferase
EC:2.4.2.53,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
EC:2.6.1.87,UDP-4-amino-4-deoxy-L-arabinose aminotransferase
EC:2.7.7.22,Mannose-1-phosphate guanylyltransferase (GDP)
EC:2.7.7.13,Mannose-1-phosphate guanylyltransferase
EC:5.3.1.8,Mannose-6-phosphate isomerase
EC:4.2.2.3,Mannuronate-specific alginate lyase
EC:6.2.1.3,Long-chain-fatty-acid--CoA ligase
EC:2.4.1.33,Mannuronan synthase
EC:2.4.1.212,Hyaluronan synthase
EC:1.1.1.132,GDP-mannose 6-dehydrogenase
EC:2.1.3.3,Ornithine carbamoyltransferase
EC:3.1.13,Acting on ester bonds
EC:6.3.4.5,Argininosuccinate synthase
EC:4.4.1.5,Lactoylglutathione lyase
EC:6.1.1.10,Methionine--tRNA ligase
EC:3.5.4.13,dCTP deaminase
EC:2.3.1.184,Acyl-homoserine-lactone synthase
EC:4.2.1.51,Prephenate dehydratase
EC:4.2.1.91,Arogenate dehydratase
EC:3.2.1.17,Lysozyme
EC:1.1.1.39,Malate dehydrogenase (decarboxylating)
EC:2.1.1.61,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
EC:2.8.3.8,Acetate CoA-transferase
EC:1.1.5.4,Malate dehydrogenase (quinone)
EC:1.11.1.9,Glutathione peroxidase
EC:3.1.1.4,Phospholipase A(2)
EC:1.5.1.38,FMN reductase (NADPH)
EC:1.5.1.39,FMN reductase (NAD(P)H)
EC:1.14.14.5,Alkanesulfonate monooxygenase
EC:3.5.4.16,GTP cyclohydrolase I
EC:4.2.1.107,"3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA"
EC:4.2.1.74,Long-chain-enoyl-CoA hydratase
EC:1.1.1.62,17-beta-estradiol 17-dehydrogenase
EC:1.1.1.51,3(or 17)-beta-hydroxysteroid dehydrogenase
EC:1.18.1,Acting on iron-sulfur proteins as donors
EC:1.18.1.2,Ferredoxin--NADP(+) reductase
EC:3.6.3.1,Phospholipid-translocating ATPase
EC:1.7.2.4,Nitrous-oxide reductase
EC:2.1.1.55,tRNA (adenine-N(6)-)-methyltransferase
EC:3.6.3.28,Phosphonate-transporting ATPase
EC:2.7.8.37,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase
EC:4.7.1.1,Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase
EC:2.7.4.23,"Ribose 1,5-bisphosphate phosphokinase"
EC:3.5.1.4,Amidase
EC:4.3.1.18,D-serine ammonia-lyase
EC:5.1.3.20,ADP-glyceromanno-heptose 6-epimerase
EC:2.3.1.41,Beta-ketoacyl-[acyl-carrier-protein] synthase I
EC:2.3.1.180,Beta-ketoacyl-[acyl-carrier-protein] synthase III
EC:1.14.15,"Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)"
EC:3.1.4.3,Phospholipase C
EC:2.7.8.27,Sphingomyelin synthase
EC:4.2.1.55,3-hydroxybutyryl-CoA dehydratase
EC:1.12.99.6,Hydrogenase (acceptor)
EC:3.1.3.1,Alkaline phosphatase
EC:2.3.1.88,Acyltransferases
EC:1.13.11.24,"Quercetin 2,3-dioxygenase"
EC:3.6.3.41,Heme-transporting ATPase
EC:4.6.1.1,Adenylate cyclase
EC:4.2.1.12,Phosphogluconate dehydratase
EC:2.7.1.2,Glucokinase
EC:2.7.1.1,Hexokinase
EC:3.6.3.20,Glycerol-3-phosphate-transporting ATPase
EC:1.1.1.49,Glucose-6-phosphate dehydrogenase (NADP(+))
EC:3.1.1.31,6-phosphogluconolactonase
EC:4.1.2.14,2-dehydro-3-deoxy-phosphogluconate aldolase
EC:4.1.3.16,4-hydroxy-2-oxoglutarate aldolase
EC:4.1.3.42,(4S)-4-hydroxy-2-oxoglutarate aldolase
EC:3.5.3.8,Formimidoylglutamase
EC:2.1.1.64,3-demethylubiquinol 3-O-methyltransferase
EC:3.5.4.28,S-adenosylhomocysteine deaminase
EC:5.3.1.23,S-methyl-5-thioribose-1-phosphate isomerase
EC:2.6.1.52,Phosphoserine transaminase
EC:2.6.1.9,Histidinol-phosphate transaminase
EC:2.5.1.19,3-phosphoshikimate 1-carboxyvinyltransferase
EC:6.3.2.1,Pantoate--beta-alanine ligase (AMP-forming)
EC:2.7.4.14,UMP/CMP kinase
EC:1.1.1.136,UDP-N-acetylglucosamine 6-dehydrogenase
EC:5.1.3.6,UDP-glucuronate 4-epimerase
EC:5.1.3.14,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)
EC:2.6.1.57,Aromatic-amino-acid transaminase
EC:2.6.1.6,Leucine transaminase
EC:2.6.1.5,Tyrosine transaminase
EC:2.6.1.1,Aspartate transaminase
EC:2.4.2.30,NAD(+) ADP-ribosyltransferase
EC:6.1.1.17,Glutamate--tRNA ligase
EC:4.2.1.33,3-isopropylmalate dehydratase
EC:1.1.1.85,3-isopropylmalate dehydrogenase
EC:1.2.1.11,Aspartate-semialdehyde dehydrogenase
EC:6.3.2.17,Tetrahydrofolate synthase
EC:6.3.2.12,Dihydrofolate synthase
EC:2.4.2.14,Amidophosphoribosyltransferase
EC:1.1.1.107,Pyridoxal 4-dehydrogenase
EC:1.3.1.34,"2,4-dienoyl-CoA reductase (NADPH)"
EC:2.7.1.23,NAD(+) kinase
EC:1.4.1.3,Glutamate dehydrogenase (NAD(P)(+))
EC:1.4.1.2,Glutamate dehydrogenase
EC:1.3.5.2,Dihydroorotate dehydrogenase (quinone)
EC:2.1.1.173,23S rRNA (guanine(2445)-N(2))-methyltransferase
EC:3.1.5.1,dGTPase
EC:2.7.7.77,Molybdenum cofactor guanylyltransferase
EC:1.1.1.211,Long-chain-3-hydroxyacyl-CoA dehydrogenase
EC:5.3.3.8,Delta(3)-Delta(2)-enoyl-CoA isomerase
EC:5.1.2.3,3-hydroxybutyryl-CoA epimerase
EC:5.99.1.2,DNA topoisomerase
EC:3.2.1.52,Beta-N-acetylhexosaminidase
EC:2.4.2.1,Purine-nucleoside phosphorylase
EC:2.4.2.28,S-methyl-5'-thioadenosine phosphorylase
EC:1.6.99.5,Acting on NADH or NADPH
EC:1.6.5.3,NADH:ubiquinone reductase (H(+)-translocating)
